# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
zan shi 	暫時	c=31 d=1.18363e-12 t=116978
zan ting 	暫停	c=2 d=0.562705 t=116978
zan tong 	贊同	c=1 d=9.19205e-98 t=116978
zan wei 	暫未	c=2 d=1.74693e-63 t=116978
zan wu 	暫無	c=1 d=3.04804e-141 t=116978
zan zhu 	贊助	c=1 d=1.39454e-177 t=116978
zang qu 	藏區	c=1 d=5.12564e-50 t=116978
zang yi lou 	脏衣篓	c=1 d=3.08809e-30 t=116978
zao 	早	c=15 d=0.00900478 t=116978
zao 	澡	c=2 d=5.47835e-59 t=116978
zao 	糟	c=1 d=6.27667e-51 t=116978
zao 	造	c=7 d=0.199888 t=116978
zao ban 	早班	c=0 d=9.34747e-61 t=116978
zao ban ji 	早班機	c=2 d=1.89784e-59 t=116978
zao cheng 	造成	c=5 d=6.03487e-13 t=116978
zao dian 	早點	c=14 d=3.4555e-29 t=116978
zao dian qu 	早點去	c=1 d=5.09487e-38 t=116978
zao dong 	躁動	c=0 d=0.000634556 t=116978
zao dong bu an 	躁動不安	c=1 d=0.00637737 t=116978
zao ji 	遭際	c=1 d=1.01767e-59 t=116978
zao jia 	造假	c=3 d=0.305746 t=116978
zao jia 	造價	c=1 d=1.23886e-108 t=116978
zao jiu 	早就	c=2 d=3.25825e-14 t=116978
zao le 	早了	c=1 d=5.06277e-140 t=116978
zao qi 	早期	c=1 d=8.15176e-38 t=116978
zao qi 	早起	c=2 d=2.60354e-22 t=116978
zao ri 	早日	c=1 d=1.07991e-169 t=116978
zao shang 	早上	c=18 d=0.026076 t=116978
zao sheng 	噪聲	c=8 d=0.186374 t=116978
zao sheng shu ju 	噪聲數據	c=1 d=5.07414e-137 t=116978
zao shui 	早睡	c=1 d=6.17166e-29 t=116978
zao tui 	早退	c=1 d=1.34373e-64 t=116978
zao wan 	早晚	c=1 d=3.64343e-05 t=116978
zao yin 	噪音	c=24 d=0.00108628 t=116978
zao yin yang ben 	噪音樣本	c=1 d=8.21968e-18 t=116978
zao zhe ne 	早着呢	c=1 d=7.02972e-178 t=116978
zao zhi dao 	早知道	c=1 d=2.42654e-76 t=116978
ze 	則	c=20 d=0.00940475 t=116978
ze 	澤	c=1 d=2.89473e-34 t=116978
ze ding yi 	則定義	c=1 d=3.85602e-172 t=116978
ze hui 	則會	c=1 d=1.99957e-152 t=116978
ze ne ma 	則呢嗎	c=2 d=1.77586e-21 t=116978
ze ren 	責任	c=6 d=3.59324e-13 t=116978
ze ren gan 	責任感	c=1 d=1.40472e-145 t=116978
ze shi 	則是	c=2 d=4.9696e-98 t=116978
zei hao 	賊好	c=1 d=5.21374e-74 t=116978
zei kuai 	賊快	c=1 d=1.37853e-12 t=116978
zen me 	怎麼	c=278 d=0.286908 t=116978
zen me ban 	怎麼辦	c=2 d=2.23237e-36 t=116978
zen me gao 	怎麼搞	c=1 d=3.21641e-09 t=116978
zen me kua 	怎麼誇	c=1 d=1.18052e-70 t=116978
zen me shuo 	怎麼說	c=1 d=0.000314351 t=116978
zen me suan 	怎麼算	c=1 d=1.86077e-41 t=116978
zen me yang 	怎麼樣	c=13 d=0.00256704 t=116978
zen shi 	怎是	c=1 d=3.28194e-11 t=116978
zen yang 	怎樣	c=4 d=2.52961e-36 t=116978
zeng 	增	c=3 d=1.16632e-104 t=116978
zeng da 	增大	c=2 d=1.34752e-09 t=116978
zeng duo 	增多	c=2 d=2.12589e-108 t=116978
zeng gao 	增高	c=1 d=5.26379e-10 t=116978
zeng guang 	增光	c=0 d=2.46238e-73 t=116978
zeng jia 	增加	c=10 d=1.30855e-18 t=116978
zeng qiang 	增強	c=8 d=0.216873 t=116978
zeng shan 	增刪	c=1 d=5.08188e-08 t=116978
zeng song 	贈送	c=1 d=7.01538e-154 t=116978
zeng tian 	增添	c=1 d=4.92753e-145 t=116978
zeng yi 	曾怡	c=3 d=5.5358e-06 t=116978
zeng zhang 	增長	c=2 d=1.37353e-28 t=116978
zha 	渣	c=2 d=5.65718e-05 t=116978
zha 	炸	c=1 d=6.84355e-127 t=116978
zha 	詐	c=1 d=1.45352e-135 t=116978
zha bu zha 	炸不炸	c=1 d=7.08732e-127 t=116978
zha dan 	炸彈	c=1 d=7.16266e-75 t=116978
zha gan 	榨乾	c=0 d=1.32768e-12 t=116978
zha gan le 	榨乾了	c=1 d=1.33434e-11 t=116978
zha ke 	扎克	c=1 d=5.20066e-162 t=116978
zha nan 	渣男	c=1 d=5.06757e-63 t=116978
zha pian 	詐騙	c=3 d=0.0867846 t=116978
zhai 	債	c=1 d=1.90333e-13 t=116978
zhai 	摘	c=1 d=1.34131e-131 t=116978
zhai 	窄	c=2 d=5.80434e-13 t=116978
zhai chao 	摘抄	c=1 d=4.02802e-156 t=116978
zhai jian 	債間	c=1 d=2.85962e-155 t=116978
zhai quan 	債券	c=6 d=5.15686e-134 t=116978
zhai wu 	債務	c=3 d=3.34644e-39 t=116978
zhai yao 	摘要	c=21 d=5.39179e-23 t=116978
zhan 	佔	c=8 d=7.13856e-06 t=116978
zhan 	展	c=1 d=4.85051e-48 t=116978
zhan 	斬	c=1 d=1.27519e-07 t=116978
zhan 	棧	c=0 d=5.69818e-179 t=116978
zhan 	沾	c=0 d=2.16639e-37 t=116978
zhan 	站	c=18 d=0.869358 t=116978
zhan 	詹	c=23 d=0.472343 t=116978
zhan bu zhu 	站不住	c=1 d=1.19857e-72 t=116978
zhan dao 	棧道	c=2 d=0.00113177 t=116978
zhan dian 	站點	c=1 d=1.67752e-86 t=116978
zhan ding jie tie 	斬釘截鐵	c=1 d=3.22299e-33 t=116978
zhan guo qu 	沾過去	c=1 d=2.17725e-36 t=116978
zhan jia wei 	詹佳偉	c=131 d=0.463481 t=116978
zhan ju 	佔據	c=0 d=1.25805e-84 t=116978
zhan ju ai wei 	佔據唉位	c=1 d=1.26436e-83 t=116978
zhan kai 	展開	c=1 d=4.05662e-151 t=116978
zhan lve xing 	戰略性	c=1 d=2.11306e-125 t=116978
zhan qi lai 	站起來	c=1 d=4.70235e-36 t=116978
zhan shi 	展示	c=8 d=4.72527e-05 t=116978
zhan tai 	站臺	c=2 d=2.46786e-54 t=116978
zhan tie 	粘貼	c=7 d=4.46471e-08 t=116978
zhan tu 	詹圖	c=1 d=1.36056e-34 t=116978
zhan tu jin 	詹圖金	c=39 d=0.000219476 t=116978
zhan wang 	展望	c=9 d=1.85123e-10 t=116978
zhan xian 	展現	c=1 d=7.94785e-181 t=116978
zhan xian 	戰線	c=1 d=3.13232e-109 t=116978
zhan yong 	佔用	c=9 d=1.1398e-10 t=116978
zhan yong lv 	佔用率	c=2 d=1.32737e-30 t=116978
zhan zai 	站在	c=1 d=3.32634e-22 t=116978
zhan zhan 	粘粘	c=1 d=3.08674e-113 t=116978
zhang 	帳	c=1 d=1.06815e-99 t=116978
zhang 	張	c=26 d=1.47499e-05 t=116978
zhang 	漲	c=12 d=9.56974e-13 t=116978
zhang 	章	c=45 d=0.794534 t=116978
zhang 	長	c=6 d=3.48122e-28 t=116978
zhang da 	長大	c=1 d=4.7975e-08 t=116978
zhang da le 	長大了	c=1 d=9.17709e-167 t=116978
zhang dan 	賬單	c=1 d=3.29495e-175 t=116978
zhang fu 	丈夫	c=1 d=2.99896e-09 t=116978
zhang gong zi 	漲工資	c=2 d=2.31087e-119 t=116978
zhang guo li 	張國立	c=1 d=1.47002e-62 t=116978
zhang hao 	帳號	c=13 d=0.00138051 t=116978
zhang hu 	賬戶	c=21 d=9.85361e-47 t=116978
zhang jie 	章節	c=32 d=5.7595e-11 t=116978
zhang lang 	蟑螂	c=1 d=7.69691e-39 t=116978
zhang lao shi 	張老師	c=23 d=0.267135 t=116978
zhang liang 	張量	c=1 d=0.128093 t=116978
zhang meng 	张濛	c=1 d=1.69582e-96 t=116978
zhang min 	張敏	c=1 d=4.526e-145 t=116978
zhang san 	張三	c=1 d=3.07792e-50 t=116978
zhang sha yang 	長啥樣	c=2 d=3.57421e-44 t=116978
zhang shang 	賬上	c=2 d=3.05296e-83 t=116978
zhang wo 	掌握	c=1 d=4.94866e-19 t=116978
zhang yang 	張揚	c=13 d=2.42031e-32 t=116978
zhang yang shuo 	張揚說	c=1 d=5.19729e-125 t=116978
zhang zhao 	張照	c=1 d=6.82632e-69 t=116978
zhang zhou 	漳州	c=2 d=1.18878e-05 t=116978
zhao 	兆	c=4 d=8.78518e-82 t=116978
zhao 	找	c=78 d=4.31133e-05 t=116978
zhao 	招	c=14 d=0.420062 t=116978
zhao 	照	c=3 d=6.22944e-22 t=116978
zhao 	趙	c=2 d=0.00900478 t=116978
zhao 	釗	c=1 d=9.97257e-145 t=116978
zhao ben xuan ke 	照本宣科	c=1 d=2.27546e-55 t=116978
zhao bu dao 	找不到	c=6 d=1.35165e-45 t=116978
zhao chu 	找出	c=3 d=2.32632e-21 t=116978
zhao chu le 	找出了	c=1 d=3.1256e-25 t=116978
zhao dao 	找到	c=26 d=0.00287246 t=116978
zhao dao le 	找到了	c=1 d=5.2015e-17 t=116978
zhao de 	找的	c=1 d=1.11795e-47 t=116978
zhao ge 	找個	c=4 d=1.40906e-05 t=116978
zhao gu 	招股	c=1 d=2.83955e-131 t=116978
zhao gu 	照顧	c=2 d=2.53684e-12 t=116978
zhao gu shu 	招股書	c=2 d=1.57195e-86 t=116978
zhao guo 	兆國	c=2 d=6.58331e-141 t=116978
zhao guo 	找過	c=0 d=1.11625e-177 t=116978
zhao guo wo 	找過我	c=1 d=1.12185e-176 t=116978
zhao hang 	招行	c=9 d=0.0293049 t=116978
zhao huan 	召喚	c=1 d=1.53283e-113 t=116978
zhao hui 	召回	c=4 d=1.42747e-84 t=116978
zhao hui 	找回	c=0 d=6.60437e-180 t=116978
zhao hui lv 	召回率	c=18 d=8.64644e-84 t=116978
zhao hui lv 	找回率	c=2 d=7.25761e-171 t=116978
zhao ji 	着急	c=4 d=5.42282e-66 t=116978
zhao ji hui 	找機會	c=1 d=2.46162e-39 t=116978
zhao le 	找了	c=2 d=1.25339e-61 t=116978
zhao le yi xia 	找了一下	c=1 d=5.1932e-57 t=116978
zhao ma 	找馬	c=1 d=4.55116e-122 t=116978
zhao ni 	找你	c=28 d=0.00794669 t=116978
zhao ni jie 	找你借	c=1 d=5.8871e-150 t=116978
zhao ni men 	找你們	c=1 d=4.65225e-57 t=116978
zhao nin 	找您	c=6 d=4.09696e-56 t=116978
zhao pian 	照片	c=13 d=1.31108e-10 t=116978
zhao pin 	招聘	c=6 d=0.037068 t=116978
zhao re 	招惹	c=1 d=1.3473e-154 t=116978
zhao shang 	招商	c=6 d=0.349938 t=116978
zhao shang yin hang 	招商銀行	c=2 d=1.79367e-50 t=116978
zhao shang yong long 	招商永隆	c=1 d=1.84828e-50 t=116978
zhao sheng 	招生	c=1 d=4.30935e-68 t=116978
zhao shui 	找誰	c=1 d=2.7623e-130 t=116978
zhao ta 	找他	c=3 d=2.54152e-150 t=116978
zhao ta 	找她	c=1 d=4.35192e-66 t=116978
zhao wen ti 	找問題	c=1 d=2.36027e-15 t=116978
zhao wo 	找我	c=24 d=0.000788798 t=116978
zhao wo 	罩我	c=5 d=0.00304632 t=116978
zhao wo jie 	找我借	c=2 d=4.19331e-150 t=116978
zhao wo wan 	找我玩	c=1 d=1.41469e-140 t=116978
zhao yi xia 	找一下	c=7 d=4.6437e-06 t=116978
zhao zhao 	找找	c=8 d=9.05916e-15 t=116978
zhao zhe 	照着	c=1 d=3.05113e-06 t=116978
zhao zhe 	罩着	c=1 d=2.86602e-05 t=116978
zhe 	折	c=4 d=2.84177e-35 t=116978
zhe 	着	c=105 d=0.0376881 t=116978
zhe 	者	c=20 d=7.92187e-25 t=116978
zhe 	這	c=195 d=0.0378732 t=116978
zhe bang ren 	這幫人	c=1 d=0.00506703 t=116978
zhe bei zi 	這輩子	c=1 d=1.06524e-67 t=116978
zhe bian 	這邊	c=75 d=0.412714 t=116978
zhe bian kan 	這邊看	c=1 d=3.40453e-60 t=116978
zhe bo 	這撥	c=1 d=8.51192e-76 t=116978
zhe bu 	這部	c=1 d=7.70346e-49 t=116978
zhe bu fen 	這部分	c=1 d=2.33838e-23 t=116978
zhe bu hao 	這不好	c=1 d=3.2148e-150 t=116978
zhe bu jiu gen 	這不就跟	c=1 d=3.9947e-29 t=116978
zhe bu shi 	這不是	c=3 d=8.97911e-55 t=116978
zhe ci 	這次	c=6 d=2.3489e-17 t=116978
zhe dian 	這點	c=2 d=5.89588e-50 t=116978
zhe die chuang 	摺疊牀	c=1 d=1.39448e-59 t=116978
zhe dong xi 	這東西	c=2 d=5.29433e-78 t=116978
zhe dou 	這都	c=1 d=2.52619e-167 t=116978
zhe dui yu 	這對於	c=1 d=2.5781e-171 t=116978
zhe dun 	這頓	c=1 d=3.00276e-112 t=116978
zhe er 	這兒	c=4 d=0.0366992 t=116978
zhe fang fa 	這方法	c=1 d=0.216536 t=116978
zhe fen 	這份	c=1 d=1.72433e-145 t=116978
zhe feng xian 	這風險	c=1 d=3.12148e-127 t=116978
zhe ge 	這個	c=696 d=1.87398 t=116978
zhe ge shi 	這個是	c=3 d=1.13802e-21 t=116978
zhe ge shi hou 	這個時候	c=1 d=2.88824e-37 t=116978
zhe ge tu 	這個圖	c=1 d=2.27159e-35 t=116978
zhe ge yue 	這個月	c=1 d=8.85571e-130 t=116978
zhe hai yong 	這還用	c=1 d=1.83556e-57 t=116978
zhe hou 	這後	c=1 d=1.02567e-151 t=116978
zhe hou mian 	這後面	c=1 d=7.98387e-146 t=116978
zhe hua 	這話	c=1 d=6.66615e-24 t=116978
zhe hui 	這回	c=4 d=3.58701e-86 t=116978
zhe hui 	這會	c=1 d=6.31888e-71 t=116978
zhe hui shi 	這回事	c=3 d=1.27906e-72 t=116978
zhe ji 	這幾	c=1 d=7.24504e-180 t=116978
zhe ji ge 	這幾個	c=3 d=3.03798e-14 t=116978
zhe ji nian 	這幾年	c=3 d=0.00687675 t=116978
zhe ji pian 	這幾篇	c=2 d=4.053e-23 t=116978
zhe ji tian 	這幾天	c=3 d=4.54773e-25 t=116978
zhe ji tiao 	這幾條	c=2 d=4.20367e-33 t=116978
zhe jia 	這家	c=1 d=1.87953e-12 t=116978
zhe jian shi 	這件事	c=5 d=1.02191e-49 t=116978
zhe jiang da xue 	浙江大學	c=1 d=5.99659e-14 t=116978
zhe jiu 	這就	c=2 d=3.77758e-48 t=116978
zhe jiu shi 	這就是	c=2 d=2.33472e-34 t=116978
zhe ju 	這句	c=1 d=8.94101e-37 t=116978
zhe ju hua 	這句話	c=2 d=0.351692 t=116978
zhe ke yi 	這可以	c=2 d=9.55153e-20 t=116978
zhe kuai 	這塊	c=18 d=3.44928e-07 t=116978
zhe lang tun 	這狼吞	c=1 d=3.11703e-169 t=116978
zhe lei 	這類	c=7 d=6.24344e-18 t=116978
zhe li 	這裏	c=26 d=0.0572688 t=116978
zhe li mian 	這裏面	c=3 d=1.07248e-29 t=116978
zhe li shi 	這裏是	c=1 d=0.00021605 t=116978
zhe liang 	這兩	c=0 d=1.77243e-58 t=116978
zhe liang 	這輛	c=2 d=6.88941e-54 t=116978
zhe liang bi 	這兩比	c=1 d=1.78131e-57 t=116978
zhe liang duan 	這兩段	c=1 d=2.9517e-28 t=116978
zhe liang fen 	這兩份	c=1 d=2.5932e-34 t=116978
zhe liang ge 	這兩個	c=12 d=5.2249e-11 t=116978
zhe liang hang 	這兩行	c=1 d=9.27752e-148 t=116978
zhe liang kuai 	這兩塊	c=1 d=5.78941e-159 t=116978
zhe liang nian 	這兩年	c=1 d=4.64182e-60 t=116978
zhe liang tai 	這兩臺	c=1 d=3.50522e-50 t=116978
zhe liang ti a 	這兩題啊	c=1 d=1.8123e-54 t=116978
zhe liang tian 	這兩天	c=17 d=6.04534e-21 t=116978
zhe liang tian ye 	這兩天也	c=1 d=2.60709e-38 t=116978
zhe liang tiao xin wen 	這兩條新聞	c=1 d=3.41777e-135 t=116978
zhe liang xiang 	這兩項	c=1 d=1.08057e-88 t=116978
zhe liang yang 	這兩樣	c=1 d=1.66564e-120 t=116978
zhe liang zhang 	這兩張	c=1 d=3.26103e-24 t=116978
zhe liang zhang tu 	這兩張圖	c=1 d=2.50188e-24 t=116978
zhe liang zhe 	這兩者	c=1 d=5.33339e-135 t=116978
zhe liang zhong 	這兩種	c=3 d=3.60718e-05 t=116978
zhe me 	這麼	c=129 d=0.341148 t=116978
zhe me can 	這麼慘	c=1 d=2.42993e-63 t=116978
zhe me chuan 	這麼傳	c=1 d=3.63317e-60 t=116978
zhe me da 	這麼大	c=4 d=1.79083e-49 t=116978
zhe me dian 	這麼點	c=2 d=8.24771e-58 t=116978
zhe me duo 	這麼多	c=15 d=9.88175e-13 t=116978
zhe me duo nian 	這麼多年	c=1 d=5.81206e-58 t=116978
zhe me duo qian 	這麼多簽	c=1 d=7.74076e-47 t=116978
zhe me duo qian 	這麼多錢	c=1 d=4.57426e-64 t=116978
zhe me duo ren 	這麼多人	c=1 d=2.9284e-23 t=116978
zhe me gao 	這麼搞	c=1 d=5.9736e-57 t=116978
zhe me gao 	這麼高	c=1 d=6.44152e-150 t=116978
zhe me gui 	這麼貴	c=1 d=1.74385e-101 t=116978
zhe me hao 	這麼好	c=1 d=5.83821e-52 t=116978
zhe me huai 	這麼壞	c=2 d=3.16742e-23 t=116978
zhe me jiu 	這麼久	c=5 d=6.44694e-13 t=116978
zhe me jiu le 	這麼久了	c=1 d=7.68152e-133 t=116978
zhe me kai xin 	這麼開心	c=1 d=2.91333e-168 t=116978
zhe me kan 	這麼看	c=1 d=1.41214e-60 t=116978
zhe me ke ai 	這麼可愛	c=1 d=2.60046e-155 t=116978
zhe me kuai 	這麼快	c=3 d=0.0145524 t=116978
zhe me re 	這麼熱	c=1 d=8.01375e-43 t=116978
zhe me shao 	這麼少	c=1 d=5.43003e-111 t=116978
zhe me shuo 	這麼說	c=3 d=9.88671e-14 t=116978
zhe me shuo wo 	這麼說我	c=1 d=1.23482e-99 t=116978
zhe me wan 	這麼晚	c=2 d=4.36079e-50 t=116978
zhe me xiang 	這麼想	c=2 d=1.0733e-13 t=116978
zhe me xiang 	這麼香	c=3 d=9.89988e-11 t=116978
zhe me yi ge 	這麼一個	c=1 d=2.92712e-106 t=116978
zhe me yuan 	這麼遠	c=1 d=1.07026e-181 t=116978
zhe me zao 	這麼早	c=1 d=1.72127e-36 t=116978
zhe ne 	着呢	c=1 d=1.26534e-05 t=116978
zhe ne geng qiang 	着呢更強	c=1 d=0.000127168 t=116978
zhe ne me 	這呢麼	c=8 d=0.00257817 t=116978
zhe ni ma 	這尼瑪	c=1 d=1.12039e-102 t=116978
zhe pian 	這篇	c=15 d=2.18834e-27 t=116978
zhe pian wen zhang 	這篇文章	c=1 d=1.37911e-105 t=116978
zhe qi 	這期	c=2 d=4.51966e-11 t=116978
zhe qian 	這錢	c=1 d=3.74725e-12 t=116978
zhe ren 	這人	c=6 d=0.255381 t=116978
zhe san ge 	這三個	c=1 d=5.79274e-107 t=116978
zhe san jia 	這三家	c=1 d=1.41166e-56 t=116978
zhe san tiao 	這三條	c=1 d=2.77556e-10 t=116978
zhe sha 	折殺	c=1 d=1.92052e-148 t=116978
zhe shang 	浙商	c=1 d=7.3044e-129 t=116978
zhe shang mian 	這上面	c=4 d=3.08484e-47 t=116978
zhe shi 	這事	c=3 d=1.59967e-27 t=116978
zhe shi 	這是	c=27 d=3.12837e-06 t=116978
zhe shi hou 	這時候	c=1 d=1.33752e-39 t=116978
zhe shi sha 	這是啥	c=1 d=4.67655e-177 t=116978
zhe shi yin wei 	這是因爲	c=1 d=2.27516e-171 t=116978
zhe shou ge 	這首歌	c=1 d=8.70959e-52 t=116978
zhe suan 	折算	c=1 d=9.95456e-65 t=116978
zhe tai 	這臺	c=2 d=0.00346515 t=116978
zhe tan 	這攤	c=1 d=3.20974e-14 t=116978
zhe tang 	蔗糖	c=1 d=4.021e-18 t=116978
zhe teng 	折騰	c=9 d=2.99947e-11 t=116978
zhe teng diao 	折騰掉	c=1 d=5.59558e-82 t=116978
zhe teng qi lai 	折騰起來	c=1 d=2.63715e-114 t=116978
zhe tiao 	這條	c=1 d=8.25921e-45 t=116978
zhe wan yi er 	這玩意兒	c=1 d=1.73432e-66 t=116978
zhe xiang 	這項	c=2 d=4.67985e-09 t=116978
zhe xiang zi 	這項字	c=1 d=3.52711e-35 t=116978
zhe xie 	這些	c=62 d=0.0172502 t=116978
zhe xie shi 	這些事	c=3 d=1.85123e-10 t=116978
zhe xie tu pian zhong 	這些圖片中	c=1 d=1.00007e-89 t=116978
zhe yan 	遮掩	c=1 d=6.84632e-73 t=116978
zhe yang 	這樣	c=176 d=0.390247 t=116978
zhe yang de 	這樣的	c=1 d=1.45544e-33 t=116978
zhe yang le 	這樣了	c=1 d=1.53868e-99 t=116978
zhe yang wo 	這樣我	c=1 d=4.96215e-51 t=116978
zhe yang yi ge 	這樣一個	c=1 d=2.35972e-71 t=116978
zhe yang zi 	這樣子	c=3 d=3.11054e-27 t=116978
zhe ye 	這也	c=0 d=3.19482e-19 t=116978
zhe ye mei 	這也沒	c=1 d=1.48849e-150 t=116978
zhe ye neng 	這也能	c=1 d=3.21084e-18 t=116978
zhe ye shi 	這也是	c=1 d=7.64476e-106 t=116978
zhe yi 	這一	c=25 d=6.34759e-06 t=116978
zhe yi bu 	這一步	c=1 d=6.40196e-107 t=116978
zhe yi bu fen 	這一部分	c=1 d=6.79784e-107 t=116978
zhe yi dian 	這一點	c=5 d=1.57434e-18 t=116978
zhe yi duan 	這一段	c=1 d=1.77738e-31 t=116978
zhe yi fang fa 	這一方法	c=1 d=4.53058e-10 t=116978
zhe yi ge 	這一個	c=1 d=2.82924e-147 t=116978
zhe yi ji shu 	這一技術	c=1 d=6.37845e-05 t=116978
zhe yi ju 	這一句	c=1 d=4.09822e-124 t=116978
zhe yi kuai 	這一塊	c=2 d=2.99275e-14 t=116978
zhe yi mo kuai 	這一模塊	c=1 d=1.45638e-70 t=116978
zhe yi pian 	這一篇	c=1 d=2.85018e-28 t=116978
zhe yi tang 	這一趟	c=1 d=1.13432e-159 t=116978
zhe yi wen ti 	這一問題	c=2 d=3.0382e-103 t=116978
zhe yi zhang 	這一章	c=1 d=1.92928e-84 t=116978
zhe you 	這又	c=1 d=1.24274e-86 t=116978
zhe you shen me 	這有什麼	c=1 d=4.47211e-63 t=116978
zhe zhang 	這張	c=9 d=6.70777e-09 t=116978
zhe zhang tu 	這張圖	c=1 d=2.7333e-06 t=116978
zhe zhi 	這隻	c=1 d=6.53505e-55 t=116978
zhe zhong 	折中	c=1 d=5.30009e-32 t=116978
zhe zhong 	這種	c=73 d=0.00272466 t=116978
zhe zhong ren 	這種人	c=1 d=5.85451e-26 t=116978
zhe zhong shi 	這種事	c=1 d=1.80161e-102 t=116978
zhe zhou 	這週	c=5 d=2.34902e-54 t=116978
zhe zhou wu 	這週五	c=1 d=0.000662162 t=116978
zhe zu 	這組	c=1 d=1.06521e-96 t=116978
zhen 	幀	c=4 d=0.0991289 t=116978
zhen 	振	c=4 d=5.42247e-124 t=116978
zhen 	真	c=34 d=0.00555762 t=116978
zhen 	針	c=0 d=3.97642e-123 t=116978
zhen bang 	真棒	c=1 d=7.82337e-113 t=116978
zhen bu hao shuo 	真不好說	c=1 d=7.33953e-156 t=116978
zhen bu qu 	真不去	c=1 d=6.73364e-113 t=116978
zhen bu zhi dao 	真不知道	c=2 d=5.29648e-24 t=116978
zhen cha 	真差	c=1 d=5.70881e-53 t=116978
zhen dang 	震盪	c=1 d=3.49535e-105 t=116978
zhen de 	真的	c=78 d=0.0223353 t=116978
zhen dong 	震動	c=1 d=3.13436e-146 t=116978
zhen dui 	針對	c=22 d=2.04523e-06 t=116978
zhen dui xing 	針對性	c=14 d=1.13035e-11 t=116978
zhen gan jing 	真乾淨	c=1 d=1.25523e-86 t=116978
zhen guo fen 	真過分	c=1 d=0.0558548 t=116978
zhen hao 	真好	c=1 d=6.68205e-53 t=116978
zhen hao ting 	真好聽	c=1 d=6.71554e-52 t=116978
zhen jia 	真假	c=1 d=4.62166e-97 t=116978
zhen jing 	震驚	c=1 d=8.48588e-40 t=116978
zhen jun 	真菌	c=1 d=5.41268e-44 t=116978
zhen kai xin 	真開心	c=2 d=1.34427e-10 t=116978
zhen mei 	真沒	c=1 d=2.247e-54 t=116978
zhen mei you 	真沒有	c=1 d=6.72491e-39 t=116978
zhen ren 	真人	c=4 d=6.11579e-06 t=116978
zhen shan liang 	真善良	c=1 d=8.09318e-12 t=116978
zhen shi 	真實	c=19 d=4.38928e-09 t=116978
zhen shi 	真是	c=7 d=0.937067 t=116978
zhen tong 	鎮痛	c=0 d=5.44188e-167 t=116978
zhen tong qi 	鎮痛期	c=1 d=5.46916e-166 t=116978
zhen xi 	珍惜	c=1 d=5.49974e-114 t=116978
zhen xiang 	真香	c=1 d=6.74921e-52 t=116978
zhen zheng 	真正	c=5 d=6.38647e-10 t=116978
zhen zhu nai cha 	珍珠奶茶	c=1 d=7.50687e-39 t=116978
zhen zi 	疹子	c=1 d=7.54707e-43 t=116978
zheng 	掙	c=1 d=1.15122e-39 t=116978
zheng 	整	c=9 d=1.54949e-05 t=116978
zheng 	正	c=37 d=0.0411427 t=116978
zheng 	蒸	c=1 d=7.77691e-43 t=116978
zheng 	證	c=13 d=4.32211e-44 t=116978
zheng 	鄭	c=5 d=0.339596 t=116978
zheng ban 	正版	c=3 d=9.35618e-175 t=116978
zheng bi 	正比	c=1 d=1.53272e-24 t=116978
zheng chang 	正常	c=50 d=0.774916 t=116978
zheng chang dian 	正常點	c=1 d=3.32284e-39 t=116978
zheng chang shi jian 	正常時間	c=1 d=1.7049e-100 t=116978
zheng chang xun lian 	正常訓練	c=1 d=2.12155e-84 t=116978
zheng chang yang ben 	正常樣本	c=1 d=2.58598e-60 t=116978
zheng cheng 	征程	c=1 d=1.14439e-116 t=116978
zheng chu yu 	正處於	c=1 d=8.04433e-29 t=116978
zheng da 	正大	c=1 d=3.47992e-53 t=116978
zheng da guang ming 	正大光明	c=1 d=1.25224e-58 t=116978
zheng duan 	整段	c=1 d=2.44809e-33 t=116978
zheng duan 	爭端	c=1 d=2.43588e-33 t=116978
zheng dui 	正對	c=1 d=5.0141e-144 t=116978
zheng dui mian 	正對面	c=1 d=2.09544e-56 t=116978
zheng fan 	正反	c=1 d=3.22233e-60 t=116978
zheng fan mian 	正反面	c=1 d=2.64595e-65 t=116978
zheng fang ti 	正方體	c=1 d=1.65811e-08 t=116978
zheng fu 	征服	c=1 d=0.806541 t=116978
zheng fu 	政府	c=9 d=1.24104e-32 t=116978
zheng fu 	正負	c=4 d=8.67972e-41 t=116978
zheng fu ji guan 	政府機關	c=1 d=0.191092 t=116978
zheng fu yang ben 	整負樣本	c=1 d=1.51716e-51 t=116978
zheng ge 	整個	c=24 d=0.362402 t=116978
zheng ge ren 	整個人	c=1 d=8.35358e-61 t=116978
zheng gong 	政工	c=1 d=0.000471307 t=116978
zheng gui 	正規	c=2 d=5.70589e-47 t=116978
zheng gui dian 	正規點	c=1 d=3.22178e-58 t=116978
zheng hao 	正好	c=1 d=3.69271e-16 t=116978
zheng he 	整合	c=15 d=4.39341e-12 t=116978
zheng ji 	整機	c=4 d=2.50657e-114 t=116978
zheng jian 	證件	c=2 d=1.02048e-54 t=116978
zheng jing 	正經	c=1 d=0.00887071 t=116978
zheng ju 	證據	c=3 d=6.70445e-32 t=116978
zheng kai yan jing 	睜開眼睛	c=1 d=8.63174e-64 t=116978
zheng li 	整理	c=25 d=0.871905 t=116978
